ID	Drinks	Size
198	*	Fat
199	None	Thin
200	None	Thin
201	Lots	Thin
202	Little	Fat
203	Little	Fat
204	Lots	Fat
205	Lots	Thin
206	None	Thin
207	Little	Fat
208	*	Thin
209	Lots	Thin
210	*	Thin
211	None	Thin
212	*	*
213	Lots	Fat
214	Little	Thin
215	*	Fat
216	None	*
217	Little	Fat
218	None	Fat
219	Little	Fat
220	None	Thin
221	*	*
222	None	Fat
223	None	*
224	Little	Fat
225	Lots	*
226	None	Fat
227	None	Thin
228	None	Fat
229	Lots	Thin
230	None	*
231	*	*
232	Lots	Fat
233	Lots	Thin
234	None	Thin
235	Little	Fat
236	None	*
237	*	Fat
238	*	Thin
239	Lots	*
240	Lots	Thin
241	*	Thin
242	Lots	*
243	Little	Thin
244	None	Thin
245	Little	Fat
246	Little	Fat
247	*	Thin
248	None	*
249	*	*
250	Little	*
251	Lots	*
252	Lots	*
253	Lots	Thin
254	None	Fat
255	None	Fat
256	Little	Fat
257	Lots	*
258	None	Thin
259	None	Fat
260	Lots	Thin
261	*	*
262	*	Thin
263	Little	Thin
264	*	*
265	Lots	*
266	*	Fat
267	*	*
268	None	Fat
269	None	Thin
270	None	Thin
271	None	Fat
272	None	Thin
273	Lots	Thin
274	Lots	Fat
275	None	Fat
276	Lots	Fat
277	Lots	*
278	Lots	*
279	None	Thin
280	*	Fat
281	None	Thin
282	None	Thin
283	Lots	Thin
284	*	*
285	Lots	Thin
286	None	Fat
287	None	*
288	None	Thin
289	None	Thin
290	Little	Fat
291	Lots	Fat
292	Little	*
293	None	Thin
294	*	Thin
295	*	Fat
296	*	Fat
297	Little	*
298	None	Thin
299	Lots	Thin
300	None	*
301	*	*
302	None	*
303	Lots	*
304	Little	Fat
305	Little	Thin
306	None	Thin
307	None	Fat
308	*	Fat
309	Lots	Thin
310	None	*
311	*	Thin
312	None	Fat
313	Lots	Thin
314	None	Fat
315	None	Fat
316	Little	Thin
317	Lots	Thin
318	*	Fat
319	Little	Thin
320	None	*
321	*	Thin
322	Little	*
323	*	Fat
324	Lots	Thin
325	None	Thin
326	Lots	Fat
327	None	*
328	Lots	Fat
329	Lots	Thin
330	Lots	Fat
331	Lots	Thin
332	Lots	Fat
333	Lots	*
334	*	Fat
335	Lots	*
336	*	Fat
337	*	*
338	*	Thin
339	Little	Fat
340	Lots	Thin
341	Lots	Thin
342	None	Thin
343	None	Thin
344	Little	Thin
345	None	Fat
346	None	Thin
347	Little	Fat
348	*	Thin
349	Little	*
350	Little	Thin
351	None	Thin
352	*	Thin
353	Lots	Thin
354	Lots	*
355	None	*
356	Lots	Fat
357	*	Thin
358	None	Thin
359	Lots	*
360	Little	*
361	Lots	*
362	*	Thin
363	*	*
364	Lots	Thin
365	None	Thin
366	None	Fat
367	None	Thin
368	*	Fat
369	*	Thin
370	None	Thin
371	None	*
372	*	Thin
373	*	Thin
374	Lots	*
375	Little	Fat
376	Little	*
377	None	*
378	Lots	Thin
379	Little	Fat
380	Lots	Thin
381	Little	Fat
382	Lots	*
383	Lots	Thin
384	Lots	*
385	Little	Fat
386	Little	*
387	None	*
388	Lots	Thin
389	Little	Fat
390	None	Thin
391	*	*
392	*	Fat
393	Lots	Thin
394	Lots	Fat
395	None	Thin
396	Little	Thin
397	Lots	*
398	None	*
399	Lots	*
400	Little	Thin
401	*	Fat
402	*	Fat
403	Lots	Fat
404	None	Thin
405	Lots	*
406	None	Thin
407	*	*
408	Lots	Thin
409	*	Thin
410	None	*
411	Lots	*
412	*	Thin
413	Little	*
414	*	Thin
415	*	Thin
416	*	Thin
417	Lots	Thin
418	None	Fat
419	Little	*
420	Little	Fat
421	None	Fat
422	*	Thin
423	Little	Fat
424	Little	Fat
425	Little	*
426	Little	Fat
427	Lots	Fat
428	Lots	Fat
429	Little	Thin
430	Lots	Thin
431	None	Thin
432	*	Thin
433	*	Fat
434	*	*
435	Lots	*
436	None	Thin
437	Little	Fat
438	Lots	Thin
439	None	Thin
440	*	Thin
441	Lots	*
442	Lots	Thin
443	*	Fat
444	Little	Fat
445	*	*
446	None	*
447	Lots	*
448	None	Fat
449	Little	Fat
450	*	Thin
451	*	Fat
452	Little	Thin
453	*	Fat
454	*	Thin
455	Little	Thin
456	Little	Fat
457	Little	Fat
458	*	Thin
459	Lots	Fat
460	*	Thin
461	None	*
462	Lots	Thin
463	Little	Fat
464	Little	Thin
465	Little	Thin
466	Lots	Thin
467	Little	Fat
468	Lots	Thin
469	*	*
470	Lots	Thin
471	*	Fat
472	None	Thin
473	Little	*
474	*	Fat
475	*	Fat
476	*	Thin
477	Lots	Thin
478	None	Thin
479	Little	Fat
480	None	Thin
481	Little	Fat
482	Lots	Fat
483	None	*
484	None	*
485	Little	Fat
486	Lots	*
487	Lots	Thin
488	Little	Thin
489	None	Fat
490	None	Thin
491	None	Thin
492	*	Thin
493	None	Fat
494	*	Thin
495	*	Fat
496	*	Thin
497	Lots	Thin
498	None	Thin
499	None	Thin
500	Little	Fat
501	None	Fat
502	Lots	Thin
503	*	Thin
504	Little	Thin
505	Little	Fat
506	None	Thin
507	*	Thin
508	None	Fat
509	Lots	Thin
510	Little	*
511	*	*
512	Lots	Fat
513	Lots	*
514	*	Thin
515	Lots	*
516	Little	Thin
517	None	Fat
518	Lots	Fat
519	Lots	Fat
520	*	Thin
521	Lots	Thin
522	None	Thin
523	Lots	*
524	None	*
525	Lots	Fat
526	Lots	Fat
527	Little	Fat
528	Lots	Thin
529	None	Thin
530	Lots	Thin
531	*	Thin
532	*	*
533	None	Thin
534	*	Thin
535	*	*
536	None	Thin
537	Little	Fat
538	Lots	Thin
539	*	Thin
540	Little	*
541	*	Thin
542	None	Thin
543	Lots	Thin
544	*	Fat
545	Lots	Fat
546	*	Thin
547	None	Thin
548	*	Thin
549	*	Thin
550	Lots	Thin
551	None	Fat
552	None	Thin
553	Lots	Fat
554	Lots	Fat
555	Lots	Thin
556	Lots	Thin
557	None	Thin
558	Lots	Fat
559	Little	Thin
560	Lots	Thin
561	Little	Fat
562	Lots	Fat
563	None	*
564	None	Fat
565	None	Thin
566	None	Fat
567	Lots	Thin
568	None	*
569	Little	*
570	Lots	Thin
571	Lots	Thin
572	*	Fat
573	*	Thin
574	Lots	Thin
575	Lots	Fat
576	*	Thin
577	*	Fat
578	Little	Thin
579	*	Thin
580	Little	Thin
581	Lots	Fat
582	*	Thin
583	Little	Thin
584	Little	Fat
585	Little	Thin
586	Little	Fat
587	*	Thin
588	Little	*
589	*	Fat
590	*	Thin
591	Little	Fat
592	None	Thin
593	Lots	Thin
594	None	*
595	Lots	Fat
596	None	Fat
597	*	Thin
598	None	Fat
599	None	Fat
600	Little	*
601	None	Fat
602	Lots	*
603	*	Fat
604	Lots	Thin
605	None	Thin
606	Lots	Thin
607	Lots	Fat
608	None	Thin
609	None	Thin
610	None	Fat
611	*	Thin
612	*	Fat
613	Lots	*
614	*	Fat
615	Lots	Fat
616	Lots	Fat
617	None	Thin
618	*	Fat
619	None	Thin
620	*	Thin
621	Little	Fat
622	Lots	Fat
623	Lots	Thin
624	None	Fat
625	*	Thin
626	Lots	Thin
627	None	Thin
628	Lots	Thin
629	Little	*
630	Lots	Thin
631	*	Thin
632	Little	Thin
633	Little	Fat
634	Little	*
635	None	Thin
636	*	Thin
637	Lots	Thin
638	Little	Fat
639	Little	*
640	Little	*
641	None	*
642	None	Thin
643	Little	Thin
644	Little	Thin
645	Lots	Thin
646	Little	Fat
647	Little	*
648	Lots	Thin
649	Lots	Thin
650	*	Thin
651	*	Thin
652	Little	*
653	None	Fat
654	None	Fat
655	Little	Thin
656	*	*
657	*	Thin
658	Lots	Thin
659	Little	Fat
660	Little	Fat
661	*	*
662	None	Fat
663	*	Thin
664	Lots	*
665	*	Thin
666	None	Thin
667	Little	Fat
668	Little	Fat
669	Lots	*
670	*	Fat
671	Lots	Fat
672	*	Thin
673	*	Fat
674	None	Thin
675	Little	Fat
676	Lots	Thin
677	None	Fat
678	Lots	*
679	Lots	Fat
680	Little	Fat
681	Lots	Thin
682	None	*
683	*	Thin
684	Lots	Thin
685	Lots	*
686	None	*
687	Little	Fat
688	Lots	Thin
689	Lots	Thin
690	*	Fat
691	Lots	*
692	Lots	Thin
693	None	Thin
694	None	Fat
695	Little	*
696	Lots	Thin
697	None	*
698	None	*
699	None	Thin
700	Little	Thin
701	Lots	Fat
702	None	Thin
703	None	*
704	None	Thin
705	None	Thin
706	Lots	Fat
707	None	Fat
708	Lots	Thin
709	Little	*
710	None	*
711	None	Thin
712	Lots	*
713	None	Fat
714	Lots	Thin
715	Lots	Thin
716	Lots	*
717	Lots	*
718	Lots	*
719	Lots	Thin
720	Lots	Thin
721	None	Thin
722	Lots	Thin
723	Lots	Thin
724	None	Thin
725	Little	Fat
726	*	Thin
727	Lots	*
728	None	Thin
729	*	Thin
730	Little	Fat
731	Lots	Fat
732	None	*
733	None	Fat
734	None	Fat
735	None	Thin
736	Lots	Thin
737	Lots	Thin
738	None	Fat
739	Lots	Thin
740	*	Thin
741	Lots	Fat
742	None	Thin
743	None	Thin
744	Lots	Fat
745	*	Fat
746	None	*
747	Little	*
748	None	Thin
749	Lots	*
750	None	Fat
751	Lots	Fat
752	Lots	Thin
753	Little	*
754	None	*
755	Little	Fat
756	Little	Fat
757	Little	Thin
758	*	Fat
759	None	Fat
760	None	Thin
761	None	Fat
762	None	Thin
763	*	*
764	*	Fat
765	Little	Fat
766	*	Fat
767	None	Thin
768	None	Fat
769	None	Fat
770	*	Fat
771	Lots	Fat
772	Little	Thin
773	Little	Fat
774	Little	Thin
775	Little	Thin
776	None	Fat
777	*	Thin
778	None	Thin
779	Lots	Fat
780	*	Thin
781	Lots	Fat
782	*	Thin
783	*	Thin
784	*	Fat
785	Lots	Fat
786	None	*
787	None	Thin
788	None	Thin
789	None	*
790	Lots	Thin
791	Little	Thin
792	*	*
793	None	Fat
794	Little	Fat
795	Little	Thin
796	None	Fat
797	*	Thin
798	*	Thin
799	Lots	Fat
800	None	Fat
801	*	Thin
802	None	Thin
803	None	Fat
804	None	Thin
805	None	Thin
806	Little	Fat
807	None	Thin
808	None	Thin
809	None	Thin
810	None	Thin
811	Little	Fat
812	Little	*
813	None	Fat
814	*	Thin
815	*	Fat
816	*	Thin
817	*	Fat
818	*	Fat
819	*	*
820	*	Thin
821	*	Thin
822	None	Fat
823	Little	Fat
824	*	Fat
825	Lots	Thin
826	Lots	*
827	Lots	Fat
828	*	*
829	*	Thin
830	Lots	Thin
831	None	*
832	None	Thin
833	Lots	Thin
834	*	Fat
835	Little	*
836	*	Fat
837	None	Thin
838	None	Thin
839	Lots	Thin
840	Little	Fat
841	*	Thin
842	None	*
843	*	Fat
844	Lots	*
845	*	*
846	*	Thin
847	Little	Thin
848	Lots	Thin
849	*	*
850	Little	Thin
851	None	Thin
852	None	Thin
853	*	Thin
854	None	Thin
855	Lots	Thin
856	Lots	Thin
857	*	*
858	Little	Thin
859	None	*
860	*	Thin
861	Little	*
862	None	Thin
863	Little	*
864	*	Fat
865	Little	Fat
866	None	*
867	None	Thin
868	Little	Fat
869	None	Thin
870	Lots	Fat
871	Little	*
872	None	Fat
873	Lots	Fat
874	None	Thin
875	Little	Thin
876	Lots	Thin
877	Little	Fat
878	None	Thin
879	Little	Thin
880	*	Fat
881	Lots	Fat
882	Little	Thin
883	*	*
884	Lots	Thin
885	None	Fat
886	None	*
887	*	*
888	None	Fat
889	*	Fat
890	Little	Thin
891	Lots	Thin
892	*	Fat
893	None	*
894	Lots	*
895	Lots	Fat
896	Lots	Thin
897	Lots	Thin
898	Lots	Fat
899	Little	*
900	*	Fat
901	Lots	Thin
902	Little	*
903	None	Fat
904	*	Thin
905	None	Fat
906	*	*
907	*	Fat
908	None	Fat
909	None	Fat
910	*	Fat
911	Little	Thin
912	Lots	Fat
913	Lots	Fat
914	None	Fat
915	None	Thin
916	Lots	Thin
917	Lots	Fat
918	Lots	Thin
919	*	*
920	*	Thin
921	None	Fat
922	Lots	Thin
923	None	Thin
924	None	*
925	Lots	Fat
926	None	Thin
927	Lots	Thin
928	*	Thin
929	None	Fat
930	None	Fat
931	Lots	Thin
932	Little	Fat
933	*	Thin
934	Little	Thin
935	Lots	Thin
936	*	Fat
937	None	*
938	Lots	Thin
939	Little	*
940	Little	Fat
941	Little	*
942	Lots	Thin
943	Lots	Thin
944	Lots	*
945	Little	Fat
946	Little	*
947	Little	Thin
948	None	Thin
949	Little	Fat
950	*	Thin
951	Lots	Thin
952	Little	Fat
953	*	Fat
954	Little	*
955	Lots	*
956	Little	Fat
957	*	*
958	Little	*
959	Little	*
960	Lots	Thin
961	None	Thin
962	None	Fat
963	*	*
964	None	Fat
965	None	*
966	Little	Fat
967	*	Fat
968	Lots	Thin
969	None	*
970	Lots	Fat
971	Lots	Thin
972	None	*
973	*	Fat
974	*	Thin
975	Lots	Thin
976	Little	Fat
977	None	Thin
978	None	Thin
979	Lots	Thin
980	None	Thin
981	Little	*
982	None	Thin
983	*	*
984	*	Fat
985	*	Fat
986	None	Thin
987	None	Fat
988	Lots	Thin
989	Lots	Thin
990	None	Fat
991	None	Thin
992	Lots	Thin
993	None	Fat
994	Little	*
995	Lots	Fat
996	Lots	Thin
997	None	*
998	*	Thin
999	*	Thin
1000	*	Thin
1001	Little	*
1002	None	Fat
1003	Little	Fat
1004	Little	Thin
1005	*	Thin
1006	*	Fat
1007	None	Thin
1008	Lots	Fat
1009	*	Fat
1010	Lots	Fat
1011	Lots	Thin
1012	None	Fat
1013	Lots	*
1014	Lots	Fat
1015	None	Fat
1016	*	Fat
1017	None	Thin
1018	None	*
1019	Little	*
1020	Lots	Thin
1021	*	Thin
1022	None	Fat
1023	*	Fat
1024	*	Fat
1025	Lots	Thin
1026	None	Fat
1027	None	*
1028	Lots	Fat
1029	Little	Fat
1030	Lots	Fat
1031	Lots	*
1032	Little	Fat
1033	Lots	*
1034	Lots	*
1035	Lots	Thin
1036	Lots	Fat
1037	None	*
1038	Little	Thin
1039	*	Fat
1040	Lots	Fat
1041	Little	Thin
1042	Little	Fat
1043	Little	Fat
1044	None	Fat
1045	Little	*
1046	Little	Thin
1047	Little	Thin
1048	Little	Thin
1049	None	Thin
1050	Little	Fat
1051	Little	Thin
1052	*	Fat
1053	Lots	*
1054	None	*
1055	*	Thin
1056	None	Thin
1057	*	Thin
1058	*	*
1059	*	Fat
1060	None	*
1061	None	Thin
1062	None	Thin
1063	None	Thin
1064	None	Thin
1065	*	*
1066	Lots	Fat
1067	*	*
1068	*	Fat
1069	*	*
1070	None	Thin
1071	Lots	Fat
1072	Little	Thin
1073	Little	*
1074	Lots	Fat
1075	*	Fat
1076	None	*
1077	Lots	Fat
1078	None	Thin
1079	Lots	Thin
1080	Little	Fat
1081	None	Thin
1082	Lots	Thin
1083	*	*
1084	Little	Thin
1085	*	Fat
1086	None	Thin
1087	None	Fat
1088	None	Thin
1089	*	Thin
1090	Lots	Fat
1091	None	*
1092	Lots	Fat
1093	None	Fat
1094	None	*
1095	*	Fat
1096	Lots	Fat
1097	None	Fat
1098	Lots	Thin
1099	Lots	Fat
1100	None	Thin
1101	None	Thin
1102	Lots	Fat
1103	None	Thin
1104	Little	Thin
1105	Little	*
1106	*	Thin
1107	None	Thin
1108	None	*
1109	None	Thin
1110	None	*
1111	Lots	Thin
1112	*	Fat
1113	Lots	Fat
1114	*	Thin
1115	Little	Fat
1116	Little	*
1117	None	Thin
1118	Little	*
1119	Lots	Thin
1120	None	Fat
1121	Lots	*
1122	None	Fat
1123	Little	Fat
1124	None	*
1125	None	*
1126	*	Fat
1127	Lots	*
1128	Lots	Fat
1129	None	Thin
1130	Little	Thin
1131	None	*
1132	Little	Fat
1133	None	*
1134	*	Thin
1135	Lots	Thin
1136	None	Fat
1137	Lots	Fat
1138	Little	Fat
1139	None	*
1140	Little	*
1141	Little	Thin
1142	Lots	Thin
1143	*	Thin
1144	*	Fat
1145	Lots	Thin
1146	Little	Thin
1147	*	Fat
1148	Little	Thin
1149	None	Thin
1150	*	Fat
1151	Lots	Thin
1152	Little	Fat
1153	None	Thin
1154	*	Fat
1155	None	*
1156	Lots	*
1157	None	Thin
1158	*	*
1159	None	Fat
1160	None	Fat
1161	*	*
1162	Little	Thin
1163	None	Fat
1164	Little	Fat
1165	*	Thin
1166	*	Thin
1167	*	Fat
1168	None	Fat
1169	None	Fat
1170	None	*
1171	Lots	Thin
1172	None	Fat
1173	None	*
1174	Little	*
1175	None	Thin
1176	None	Thin
1177	Lots	Thin
1178	Lots	Fat
1179	None	Thin
1180	None	Fat
1181	Lots	*
1182	Lots	*
1183	Lots	Thin
1184	None	*
1185	*	Fat
1186	None	Thin
1187	None	Thin
1188	None	Thin
1189	Little	Fat
1190	None	Thin
1191	*	Thin
1192	None	Thin
1193	Little	*
1194	None	*
1195	*	Fat
1196	None	Thin
1197	Lots	Thin
1198	None	Thin
1199	None	Fat
1200	Little	*
1201	*	Fat
1202	Lots	Fat
1203	None	Fat
1204	None	Thin
1205	Lots	Thin
1206	*	Thin
1207	Little	Fat
1208	*	*
1209	Lots	Thin
1210	None	*
1211	None	Thin
1212	Little	Fat
1213	None	Thin
1214	Little	Fat
1215	None	*
1216	Little	Fat
1217	None	*
1218	Lots	Thin
1219	Lots	Thin
1220	Lots	Thin
1221	Little	Thin
1222	None	Thin
1223	*	Thin
1224	None	Thin
1225	Little	Fat
1226	*	*
1227	*	Thin
1228	Lots	Thin
1229	Little	Thin
1230	None	*
1231	Lots	Fat
1232	Lots	Thin
1233	Little	Thin
1234	Little	Fat
1235	Little	Fat
1236	Lots	Thin
1237	Lots	Fat
1238	Little	Fat
1239	None	Fat
1240	Lots	Thin
1241	*	Thin
1242	None	Fat
1243	None	Fat
1244	Lots	Thin
1245	None	Fat
1246	Little	Fat
1247	Lots	Thin
1248	Little	Fat
1249	None	Fat
1250	Little	Thin
1251	*	*
1252	*	*
1253	None	*
1254	None	Thin
1255	None	Fat
1256	Little	Fat
1257	*	*
1258	None	Fat
1259	Lots	*
1260	None	Thin
1261	Little	Thin
1262	Lots	Thin
1263	Lots	*
1264	Lots	*
1265	None	Fat
1266	Lots	*
1267	Lots	Thin
1268	None	Fat
1269	Little	Fat
1270	*	Thin
1271	Lots	Thin
1272	Lots	Fat
1273	Lots	*
1274	None	Fat
1275	Lots	*
1276	None	Thin
1277	*	Fat
1278	Lots	Thin
1279	*	Thin
1280	*	Thin
1281	Lots	Fat
1282	Lots	Thin
1283	None	Fat
1284	Lots	Thin
1285	Little	*
1286	None	Thin
1287	*	Fat
1288	Little	Fat
1289	None	Thin
1290	Little	Fat
1291	Lots	Fat
1292	None	Fat
1293	*	Fat
1294	Lots	Thin
1295	*	Fat
1296	Lots	*
1297	Little	*
1298	None	Thin
1299	Little	*
1300	Little	*
1301	*	Fat
1302	Lots	Fat
1303	Little	Fat
1304	Lots	Fat
1305	Lots	Thin
1306	*	Fat
1307	Lots	Fat
1308	None	Fat
1309	Lots	Thin
1310	Lots	Thin
1311	None	Thin
1312	*	Fat
1313	*	Fat
1314	None	*
1315	*	*
1316	Little	*
1317	*	Fat
1318	None	*
1319	Lots	*
1320	Lots	Thin
1321	Little	Thin
1322	*	Fat
1323	*	Fat
1324	*	*
1325	Lots	Thin
1326	None	Fat
1327	*	Thin
1328	None	*
1329	Lots	Thin
1330	*	Fat
1331	*	Thin
1332	*	Thin
1333	None	Thin
1334	Little	Fat
1335	Lots	Thin
1336	None	Fat
1337	*	*
1338	None	Fat
1339	*	Fat
1340	*	Fat
1341	Little	Fat
1342	None	Fat
1343	Little	Fat
1344	None	Thin
1345	None	Fat
1346	Lots	Fat
1347	None	Fat
1348	Little	Fat
1349	*	*
1350	*	Fat
1351	None	Fat
1352	Little	Fat
1353	Lots	*
1354	None	Thin
1355	Little	Fat
1356	None	Thin
1357	*	*
1358	Lots	Thin
1359	None	Thin
1360	Little	Fat
1361	Lots	Fat
1362	Lots	Thin
1363	None	Fat
1364	Little	Fat
1365	None	Fat
1366	None	Thin
1367	None	Thin
1368	None	Thin
1369	*	Thin
1370	*	Fat
1371	Lots	*
1372	*	Thin
1373	Lots	Thin
1374	Lots	Fat
1375	Little	Thin
1376	Lots	Thin
1377	None	Thin
1378	None	Thin
1379	Little	Fat
1380	None	Fat
1381	Lots	Thin
1382	Little	*
1383	Little	Fat
1384	Little	Thin
1385	Lots	Thin
1386	None	Fat
1387	Lots	Thin
1388	None	Thin
1389	None	Fat
1390	Little	Fat
1391	None	Thin
1392	*	Thin
1393	None	Thin
1394	None	Fat
1395	None	Fat
1396	*	*
1397	None	Thin
1398	Lots	Fat
1399	Little	Fat
1400	Lots	Fat
1401	*	Fat
1402	None	Fat
1403	Little	Fat
1404	Lots	Thin
1405	None	Fat
1406	Little	Fat
1407	Lots	Thin
1408	Little	Thin
1409	None	Thin
1410	None	Thin
1411	*	*
1412	None	Fat
1413	None	Fat
1414	Little	Thin
1415	Lots	Thin
1416	Lots	Fat
1417	Little	Fat
1418	None	Fat
1419	None	Thin
1420	*	Fat
1421	Lots	Thin
1422	*	Fat
1423	Lots	Fat
1424	None	Fat
1425	Little	Thin
1426	None	Thin
1427	None	Fat
1428	None	Fat
1429	None	Thin
1430	Little	Fat
1431	Little	Fat
1432	None	Fat
1433	*	*
1434	None	Thin
1435	None	*
1436	None	Fat
1437	*	Thin
1438	None	Thin
1439	Lots	*
1440	None	*
1441	None	Fat
1442	Little	Fat
1443	*	Fat
1444	Lots	Thin
1445	None	Thin
1446	*	Fat
1447	Lots	Fat
1448	Little	*
1449	Little	*
1450	Little	Thin
1451	Little	Thin
1452	Lots	Fat
1453	None	Fat
1454	None	Fat
1455	None	Thin
1456	Little	Thin
1457	Little	Thin
1458	Lots	Thin
1459	Lots	Fat
1460	*	Thin
1461	*	Thin
1462	Lots	*
1463	*	Thin
1464	None	*
1465	*	Fat
1466	Little	Thin
1467	Lots	Thin
1468	Little	*
1469	None	Fat
1470	Little	Fat
1471	Lots	Thin
1472	*	*
1473	None	Thin
1474	None	Thin
1475	None	Fat
1476	None	Thin
1477	Little	*
1478	Lots	*
1479	Lots	Fat
1480	Little	Thin
1481	None	Fat
1482	Little	Thin
1483	*	*
1484	Little	Fat
1485	Lots	Fat
1486	None	*
1487	None	Thin
1488	*	*
1489	Little	Thin
1490	*	Fat
1491	None	Fat
1492	*	Fat
1493	*	Thin
1494	None	Thin
1495	None	*
1496	Little	*
1497	None	*
1498	None	Thin
1499	None	Thin
1500	Little	Thin
1501	Lots	Fat
1502	None	Fat
1503	Lots	Fat
1504	*	Fat
1505	Little	Thin
1506	None	Fat
1507	*	Thin
1508	Little	Fat
1509	*	Thin
1510	Lots	Thin
1511	Lots	Fat
1512	None	Fat
1513	None	*
1514	None	Fat
1515	Little	Thin
1516	Little	Fat
1517	*	Fat
1518	Lots	Fat
1519	None	Thin
1520	*	Thin
1521	Lots	Thin
1522	Little	*
1523	Little	Fat
1524	Lots	Fat
1525	Little	Thin
1526	None	*
1527	Lots	*
1528	Lots	*
1529	*	*
1530	Lots	Thin
1531	Lots	Thin
1532	None	Thin
1533	Little	Fat
1534	Lots	Fat
1535	*	Fat
1536	None	Thin
1537	Little	Fat
1538	None	*
1539	Little	Thin
1540	None	Fat
1541	Lots	Thin
1542	*	Fat
1543	None	Fat
1544	None	*
1545	Little	*
1546	Lots	Fat
1547	None	Fat
1548	Little	Fat
1549	None	Thin
1550	Little	Thin
1551	Lots	Thin
1552	None	Fat
1553	*	Thin
1554	*	Thin
1555	Little	Thin
1556	None	*
1557	Little	Thin
1558	Lots	Thin
1559	*	Fat
1560	*	Thin
1561	Little	Thin
1562	Little	*
1563	Lots	*
1564	Little	Fat
1565	*	Fat
1566	None	Fat
1567	Lots	Thin
1568	*	Thin
1569	None	Fat
1570	Little	Fat
1571	None	Fat
1572	None	Thin
1573	Lots	Fat
1574	None	*
1575	*	Fat
1576	None	Thin
1577	*	Fat
1578	None	Thin
1579	Little	Thin
1580	Lots	Thin
1581	Little	Fat
1582	None	Thin
1583	Little	Thin
1584	None	Thin
1585	Little	Thin
1586	Lots	*
1587	Lots	Thin
1588	Little	Thin
1589	None	Fat
1590	None	Thin
1591	Lots	*
1592	None	Thin
1593	*	Thin
1594	Lots	*
1595	Lots	Fat
1596	None	*
1597	Little	Fat
1598	Lots	Thin
1599	Lots	Fat
1600	*	*
1601	None	Fat
1602	Lots	Thin
1603	Little	Fat
