class stalk_root stalk_surface_below_ring population gill_attachment cap_shape cap_surface gill_color spore_print_color bruises habitat stalk_color_above_ring ring_type cap_color odor gill_spacing gill_size stalk_shape ring_number stalk_color_below_ring veil_type
d e k h f p f b l y v k o y f f c p w n p
d t s n n e x b p n v s o f t f c n w w g
g e s k p p x n p w v s o y t f c k w w w
d t s n n e f b p g v s o y t f c u w w w
g e s n a e f b p y s k o y t f c w w w w
l e s y n e b b p n c s o s f f w n w w o
d t s w s p k n e n v y o y f f c b w p p
p e k h f p x b l g y k o y f f c h w p p
l t k w y p f n e e v s o y f f c b w p p
d e k h f p x b l g v k o f f f c g w n b
d t s k n e x b p g v s o f t f c n w w g
d e k h f p x b l g y k o y f f c g w b n
d t s k n e x b p g v s o y t f c n w w p
g e s k l e x b p n n s o f t f c n w w w
d e s k c p x n p p v s o f f f w p w w p
p e k h f p f b l g v k o y f f c g w b b
m e s k a e b b p y n s o y t f c w w w w
g t s n n e x b p w a k o y t f w k w w w
g e k h f p f b p b v s o s t f c k w b w
g e s w n e k b e g a f t f f f w n w w w
g t f h f p f b p g y y o s t f w w w w w
p t k w s p f n e n v s o y f f c b w p w
g e s n l e f b p w n s o f t f c e w w w
d e k h f p x b l g y k o f f f c p w p b
d e s k c p x n p g v s o s f f w u w w w
p t k w y p x n e n v k o y f f c b w w w
d t s n n e x b p g v s o y t f c w w w w
l t k w y p f n e n v k o y f a w b w w w
m e s k l e x b p y n s o y t f c g w w w
p e k h f p f b l y v k o f f f c g w p p
d e k h f p x b l y y k o f f f c p w n b
d t s n n e f b p g v s o y t f c p w p p
d t s k n e f b p g v s o f t f c n w g w
d t s w s p f n e n v s o y f f c b w w p
p t s w f p k n e n v s t s f f c g w p w
g e s r n e x b e w s s t f f f w p w w w
d t s k n e x b p n v s o f t f c u w w g
p e k h f p f b l g y k o f f f c p w b n
d t s k n e x b p e v s o y t f c p w g p
g t f h f p x b l y v k o f t f c g w w p
g e s n l e x b p y s k o f t f c b w w w
p e s n l e f b p n s y o y t f c p w w w
m e s k l e x b p y n s o y t f c n w w w
d e k h f p x b l g v k o y f f c g w n p
g e k w n e k b e g a s t f f f w w w w w
d t k w f p f n e n v k o s f f c b w p w
p t k w y p k n e n v k o s f f c b w p p
p e k h f p x b l y v k o f f f c h w b n
g e k h f p x b l y v k o y f f c g w n b
g e s n a e x b p w s y o s t f c k w w w
d t s k n e x b p g v s o f t f c n w g p
d t k w f p x n e n v k o s f f c b w b p
d e s h f p x b l g v k o f f f c h w p n
g t f n n e f b p w a s o s f f w p w w w
d t s k n e x b p n v s o y t f c n w p w
d t s n n e f b p e v s o f t f c w w g g
p t k w f p f n e n y s o s f f c b w b p
d t s k n e x b p e v s o f t f c n w g p
p t k w f p f n e e y s o s t f c b w p p
d t s k n e x b p n v s o y t f c n w w p
d e k h n p x n e y y f o f f f c w w p p
p t s w y p f n e n v k o s f f c b w w w
m e s n l e x b p y n s o s t f c g w w w
u e s n n e x n p n y s o f f f c k w w w
d e y w n e k n e y v s o f f f c e w n w
g e k h f p f b l g y k o f f f c p w n p
d t s n n e f b p n y s o y t f c p w g w
d t s k n e f b p e y s o f t f c p w g w
l t s w s p x n e e v k o y f f c b w p p
p e k h f p f b l y y k o y f f c h w p b
p e k h f p x b l y y k o y f f c p w p b
l t s w s p x n e e v s o y f f c b w w p
u e s n n e x n p g y s o f f f c n w w w
d t s k n e f b p g v s o f t f c w w w g
l t k w f p x n e e v s o y f a w b w w w
l e s n n e k b p n v s o s f a c y w w o
d t s n n e f b p n v s o f t f c w w g g
l t k w y p f n e e v k o y f f c b n o p
d e k h n e f n f u y f o y f f c u w p w
g t f n n e f b e w n y o s f f w k w w w
m e s n l e b b p w s y o g t f c r w w w
g t f n n e x b p g s s o s f f w g w w w
d e k h f p x b l g v k o y f f c h w w b
g e s n p p x n p n s s o s t f c g w w w
u e s n n e s n p n v s o y f f c w w w w
p e k h f p x b l g y k o f f f c h w w n
l e s y n e b b p n v s o s f f w o w w o
g e k h f p f b l y y k o f f f c p w n n
p t s w s p k n e e v s o y f f c b w p p
g t f k n e f b e w a f o s f f w p w w w
d t k w y p k n e e v s o s f f c b w w w
g e s w n e x b e w a f t y f f w y w w w
g t f h f p f b l y v k o y t f c g w w b
l t k w f p x n e n v k o y f f c b w w p
g e s n l e f b p w s s o y t f c w w w w
d e k w n e k n f w y f o y f f c w w e w
p e k h f p f b l y y k o f f f c p w b b
g t s n n e x b p w s s o s t f w g w w w
p t k w y p x n e n v s o s f f c b w w w
g e k h f p x b l y y k o y f f c p w b n
d e k h f p x b l g v k o y f f c p w w p
p t k w y p f n e n v k o s f f c b w w p
g e k h f p f b l y v k o f f f c h w p n
g t s n n e f b p g n s o s f f w h w w w
p e k h f p f b l g y k o y f f c h w b p
g t f k n e b b e n a f o s f f w n w w w
g e k w n e x b p w a f t g f f c e w w w
d t s n a p f n p w v s o s t f w n w w p
d t s k n e x b p n v s o f t f c n w p p
u e s n p p f n p w s s o y t f c w w w w
p t s w s p f n e e v k o s f f c b w w p
l e s n n e k n e n c s o y f f w b w y p
g e k h f p x b l g y k o f f f c g w n p
m e s k l e x b p y s s o y t f c w w w w
g e s w n e x b e g s f t y t f w w w w w
l t s w f p f n e e v s o s f f c b w p p
d t s k n e x b p g y s o f t f c u w w p
m e s k a e b b p w n s o s t f c w w w w
l e s o n e f b p n c s o s f f w n n o o
d t s n n e x b p n y s o y t f c w w g w
d e k h f p f b l y y k o y f f c p w p p
l t s w s e x n e e v s o y f f c b w w w
g e k w n e b b e w a f t f t f w b w w w
g e s r n e f b e n s s t f f f w k w w w
l t s w f p k n e n v k o y f f c b o n n
g t s h f p f b l g v k o y f f c h w w p
d t s k n e x b p e y s o y t f c w w g p
g e s k a e x b p w n s o f t f c w w w w
p t k w s p x n e n v s o y f f c b w w w
g t s n n e x b e w s s o s f f w n w w w
g t f n n e x b e w a f o s f f w p w w w
w e s w n e x b e e c s t y t f c e w e w
l e s n n e b b p n c s o s f f w y w w o
g t s n n e x b e g a f o s f f w k w w w
d e s k c p x n p g v s o f f f c p w w w
g t f n n e f b e g s f o f f f w n w w w
d t s k n e f b p e v s o f t f c w w p p
l t s w f p x n e n v s o y f f c b w p p
u e s k n e f n p g v s o f f f c g w w w
p e s w n e k b p p y y o g t f c b w w n
d t s k n e x b p e y s o f t f c w w w w
g t s n n e x b e g a f o f f f w h w w w
u e s k n e x n p g y s o f f f c n w w w
l t k w f p f n e n v s o s f f c b w w w
d t s n n e f b p n v s o y t f c p w w p
w e s w n e f b e n c s t s t f c e w e w
p t k w s p x n e n v k o y f f c b w b w
d t s n n e f b p e y s o f t f c u w g g
d t s n n e f b p e v s o f t f c w w g g
p t s w s p x n e e v s o s f f c b w p p
g t s h f p x b l g v k o f f f c p w w n
l t k w s p k n e n v s o s f f c b w p p
d e k h n e x n e n v f o f f f c w w n p
d t s n n e x b p n v s o f t f c n w w w
d t s n n e x b p e v s o f t f c g w p w
g e s k l e x b p y n s o y t f c w w w w
m e s n l e b b p y n s o y t f c w w w w
g e s r n e b b p w a f t g t f w p w w w
l t k w y p k n e e v k o y f a w b w w w
g t s k n e x b e g s f o s f f w n w w w
d t s k n e x b p g y s o y t f c u w w p
l t k w s p x n e e v k o y f a c b w p p
m e s r n p f b p b v s t y t f c y w w w
g t f k n e f b e n n k o f f f c n w w w
d t s n n e f b p g y s o y t f c u w p p
p t k w y p f n e n v k o y f f c b w b p
g t f h f p f b l g v k o y f f c h w w b
d e k h f p x b l g v k o f f f c p w p n
l e s n n p k b p n c s o s f f w n o c o
d t s k n e f b p n y s o y t f c n w p w
d t s w y p f n e n v s o y f f c b w p y
d t s n n e x b p e v s o y t f c u w w w
l t k w s p x n e n v s o y f f c b w w p
d t k w f p k n e e v y o f f f c r w w p
d e k h f p x b l g v k o f f f c h w n b
p t s w f p f n e e v k o y f f c b w p p
p e s w n e k b p n y y o y f f c p w w w
l t k w y p x n e e v k o y f f c b w w n
g e k w n p k b p w a f t s f f w p w p w
g e s k p p x n p w v s o y t f c k w w w
d t k w y p k n e e v s o s f f c b w p p
d t s k n e x b p e y s o y t f c p w w p
d t s k n e x b p n y s o f t f c u w g p
g t s k n e f b e g n s o f f f w h w w w
d t s k n e x b p e y s o y t a c n w g p
l t s w s p k n e e v s o s f f c b n y p
d t s n n e x b p g v s o f t f c w w w p
d e k h n e f n e n v f o s f f c b w b p
d t s k n e f b p n v s o f t f c p w w p
d t s k n e x b p e v s o y t f c u w p w
d e s k c p f n p g v s o f f f c u w w w
d t s k n e f b p e y s o f t f c w w p g
l t s w s p k n e n v k o s f f c b w w w
d t s n a e x n p w v s o s f f w u w w g
u e s k n e x n p n y s o f f f c p w w w
d t s k n e x b p n y s o f t f c p w p p
d t s k n e x b p e v s o y t f c w w w w
l t k w s p k n e n v k o s f f c b o g p
p e k h f p f b l g v k o f f f c h w p n
l t s w y p k n e e v k o s f a c b w w w
d t k w s p x n e e v s o y f f c b w w w
d e s k c p f n p w s s o f f f c p w w w
d t s k n e x b p g v s o f t f c p w p w
g t s n n e f b e n s s o f f f w n w w w
g e s w n e b b p g s s t s f f w p w w w
p e k h f p f b l y v k o f f f c h w p n
u e s n a e s b n e a f o g t f c p w w g
g e k h f p x b l y v k o y f f c h w p b
d t s k n e f b p n v s o f t f c u w w p
g e s w n e x b e g a f t s f f w b w w w
l t s w f p x n e n v k o y f f c b w w p
d t s n n e x b p n v s o f t f c n w w g
d e k h f p x b l g v k o f f f c g w n p
u t s h f p x b p g s s o s t f c w w w w
u t f h f p f b p g v f o s t f c p w w w
g e k h f p f b p g y k o f f f c n w p w
g t s k n e f b e n n f o s f f w n w w w
d t s k n e s b p e y s o f t f c p w g w
d e k h f p x b l g v k o f f f c p w w n
g t s h f p k b l g v k o y t f c p w w b
u e s n p p x n p n s f o g t f c b w w w
d t s n n e f b p e v s o y t f c n w g w
g e k h f p x b p b s f o s t f c p w b w
g e s n l e x b p y s k o y t f c w w w w
d e k h f p x b l y y k o f f f c g w n b
p t s w f p x n e n y s o s f f w b w w p
d t s k n e x b p n y s o y t f c w w w p
u e s k p p f n p n v f o y t f c p w w w
g e s w n e b b e g s f t f f f w n w w w
d t s n l e x n p y v s o s t f w p w w w
d e s n c p x n p p v s o f f f w w w w g
g t f k n e f b e w n y o s f f w p w w w
d e k h f p f b l g v k o f f f c g w b b
g t s n n e f b p g a s o s f f w w w w w
g t s k n e f b e w s s o s f f w p w w w
d t k w s p k n e e v s o s f f c b w b p
g t f n n e x b e g s s o s f f w k w w w
m e s n l e x b p w s s o y t f c w w w w
g t s h f p f b l g y k o f t f c g w w n
d t s k n e x b p n y s o f t f c p w p p
g t s k n e x b e n s s o f f f w h w w w
l e s b n e b b p n v s o s f f w y w w o
g e s k l e f b p w s s o y t f c p w w w
d t s n n e f b p n v s o y t f c p w p g
d e k h f p f b l y v k o f f f c p w b p
w e s w n e f b e b c s t y t f c e w w e
l t s w f p x n e n v s o s f f c b w p p
d t k w s p k n e n v k o s f f c b w n y
g t f k n e f b e n n y o y f f c n w w w
u t f h f p x b p g s s o s t f c p w w w
u e s n n e f n p g y s o f f f c g w w w
d t s k n e x b p n v s o f t f c g w g p
l t k w y p k n e e v s o y f a w b o o w
l e s o n e x b p w v s o y t a c g w w o
p e s n a p f b p y y s o s t f c h w w w
g e s k l e x b p w n k o g t f c r w w w
l e s w n e k n e c c s o f f a c w w w p
g e s n p p f n p c v f o y t f c g w w w
p e k h f p x b l y v k o f f f c g w b b
d t s k n e f b p n y s o f t f c n w g g
d t s k n e x b p g v s o y t f c u w g g
l t s w f p x n e e y f o y f f w b w w w
d t s n n e x b p g v s o f t f c p w w p
d t s n n e f b p e v s o y t f c u w p w
l t k w y p x n e e v s o f f f c w o o y
g e s n a e x b p y n k o f t f c r w w w
g t f h f p x b l g v k o y f f c h w g b
m e s r n p f b p w v s t s t f c r w w w
g t s n n e f b p g s s o f t f w k w w w
g e k h f p x b l y y k o f f f c g w n b
d t s k n e f b p n v s o f t f c p w p g
u t f h f p x b p g s f o s t f c k w w w
d t s n n e x b p g v s o f t f c u w g p
g t s k n e x b e w n f o f f f w h w w w
g e s w n e b b e g s f t g f f w g w w w
l t s w y p k n e n v k o y f a w b w w w
g t f h f p f b p b v s o s t f c w w w w
d t k w f p x n e n y f o s f f c b w p p
u t s h f p f b p b s s o s t f c n w w w
p e k h f p x b l y y k o y f f c p w b b
d t s k n e f b p e y s o y t f c p w p p
d t s k n e x b p e v s o f t f c p w w p
p e k h f p f b l g y k o f f f c g w p p
g t s k n e x b p b n s o s t f w n w w w
g t s n n e f b p w a k o y t f w g w w w
g e s n a e b b p y s y o y t f c k w w w
d t s k n e f b p e y s o f t f c u w g g
l t k w y p f n e e v s o y f f c b o y w
l e s b n e x b p n c s o s f f w n w w o
p e k h f p x b l g v k o f f f c p w p n
d t s n n e x b p e v s o y t f c w w g w
d t k w f p k n e e v y o s f f c b w w p
d t s k n e x b p e y s o y t f c w w p g
d e k h f p x b l y v k o y f f c h w n p
p e k h f p f b l g y k o y f f c g w n p
u e y k p p f n p n v s o y t f c n w b w
g t f h f p f b p g s s o f t f c p w w w
p e s k l e f b p y y k o y t f c w w w w
p t s w f p x n e n v k o y f f c b w w p
u t f h f p x b p b s f o s t f c w w w w
d t s w y p f n e e v s o y f f c b w w w
p e k h f p f b l y v k o f f f c h w w p
d e s k c p x n p p v s o f f f c p w w w
p t k w s p x n e n v k o s f f c b w n p
g e s w n e k b e w n s t s f f w n w w w
m e s n a e b b p y s s o y t f c w w w w
g e k w n e b b p g s k t f f f w g w w w
g t s k n e x b e n s f o f f f w h w w w
p t k w y p x n e e v k o y f f c b w p p
d t s w f p f n e e v s o y f f c b w w w
g t f k n e x b e w s f o s f f w p w w w
g e s w n e k b e n a f t g f f w h w w w
d e k h f p x b l y y k o f f f c h w p p
g e k h f p x b l g v k o f f f c p w n n
g t f h f p x b l y v k o f f f c p w w b
d t s k n e f b p n y s o f t f c n w g p
d e k h f p f b l g v k o y f f c g w b p
l t k w y p x n e e v s o y f f c b w w w
g e s w n e x b e n s f t s t f w w w w w
d t k w y p k n e e v k o s f f c b w w w
g e s k a e x b p w n s o s t f c w w w w
d t s k n e x b p g v s o f t f c p w g g
p e k h f p x b l y v k o f f f c h w p b
g e s n p p x n p w v s o s t f c g w w w
d t s w f p f n e e v k o y f a c b w w w
